Title,Mileage,Year,Engine,Trans,Location,Ref_No,Model_Code,Steering,Fuel,Seats,Engine_Code,Color,Drive,Doors,Final_Price
2017 TOYOTA C-HR HYBRID S,113747,2017,1790.0,AT,Kobe,Ref No. BT740777,DAA-ZYX10,Right,Hybrid(Petrol),5,2ZR-1NM,Black,2WD,5,7610.0
2018 TOYOTA HIACE VAN LONG DX,118088,2018,1990.0,AT,Kobe,Ref No. BT698214,CBF-TRH200V,Right,Petrol,3,1TR,Silver,2WD,4,8080.0
2018 TOYOTA C-HR HYBRID G LED EDITION,139521,2018,1790.0,AT,Yokohama,Ref No. BT698381,DAA-ZYX10,Right,Hybrid(Petrol),5,2ZR-1NM,Black,2WD,5,8150.0
2017 TOYOTA C-HR HYBRID S,54454,2017,1790.0,AT,Nagoya,Ref No. BT715446,DAA-ZYX10,Right,Hybrid(Petrol),5,2ZR-1NM,Maroon,2WD,5,8880.0
2018 TOYOTA C-HR HYBRID S,56888,2018,1790.0,AT,Yokohama,Ref No. BT715474,DAA-ZYX10,Right,Hybrid(Petrol),5,2ZR-1NM,Blue,2WD,5,8670.0
2013 MAZDA DEMIO 13C,131052,2013,1340.0,MT,Yokohama,Ref No. BT698449,DBA-DE3FS,Right,Petrol,5,ZJ,Maroon,2WD,5,1020.0
2013 NISSAN JUKE 15RX TYPE V,128726,2013,1490.0,AT,Nagoya,Ref No. BT698456,DBA-YF15,Right,Petrol,5,HR15,Maroon,2WD,5,2230.0
2013 NISSAN JUKE,123455,2013,1490.0,AT,Yokohama,Ref No. BT698617,DBA-YF15,Right,Petrol,5,HR15,Silver,2WD,5,2190.0
2013 NISSAN JUKE 15RX PREMIUM WHITE PACKAGE,101949,2013,1490.0,AT,Osaka,Ref No. BT708821,DBA-YF15,Right,Petrol,5,HR15,Black,2WD,5,2330.0
2009 HONDA FIT G,41400,2009,1330.0,AT,Yokohama,Ref No. BT709113,DBA-GE6,Right,Petrol,5,L13A,Black,2WD,5,1630.0
2008 TOYOTA RUSH G,127405,2008,1490.0,AT,Yokohama,Ref No. BT709125,CBA-J210E,Right,Petrol,5,3SZ,Silver,4WD,5,3510.0
2007 NISSAN DUALIS 20G FOUR,125762,2007,1990.0,AT,Yokohama,Ref No. BT709139,DBA-NJ10,Right,Petrol,5,MR20,Black,4WD,5,1800.0
2013 VOLKSWAGEN TIGUAN 2.0TSI R LINE 4MOTION,93144,2013,1980.0,AT,Yokohama,Ref No. BT709168,ABA-5NCCZ,Right,Petrol,5,CCZ,Black,4WD,5,3960.0
